瘤痢,瘤痢疙,老矫,扁柯(∑C),碍荐樊(mm),浅加(m/s),浅氢(16规困),嚼档(%),泅瘤扁拘(hPa),老炼(hr),老荤(MJ/m2),利汲(cm),傈款樊(10盒困),瘤搁柯档(∑C)
184,力林,2021-01-07 16:00,-1.9,,5.7,340,78,1022.3,0,0.27,1.9,9,1.2
184,力林,2021-01-07 17:00,-1.8,,5,340,81,1022.5,0,0.14,2,9,1.2
184,力林,2021-01-07 18:00,-1.6,0.8,6,340,76,1022.8,0,0.01,2.2,9,1.2
184,力林,2021-01-07 19:00,-1.9,,5.9,340,86,1022.8,,,2.3,9,1.2
184,力林,2021-01-07 20:00,-2.2,,7.5,360,90,1023.2,,,3.4,9,1.2
184,力林,2021-01-07 21:00,-2.7,3.2,3.9,320,92,1022.9,,,5.4,9,1.2
184,力林,2021-01-07 22:00,-1.8,,7,320,81,1022.9,,,6,9,1.2
184,力林,2021-01-07 23:00,-1.3,,6.3,320,85,1022.5,,,6.5,9,1.1
184,力林,2021-01-08 0:00,-0.6,1,8.4,320,61,1022.4,,,6.5,9,1.2
184,力林,2021-01-08 1:00,-1.3,,9.3,320,73,1022.3,,,6.3,9,1.2
184,力林,2021-01-08 2:00,-1.8,,6.4,340,85,1022.3,,,6.3,8,1.3
184,力林,2021-01-08 3:00,-1.9,0.2,10,320,80,1022.6,,,6.1,9,1.3
184,力林,2021-01-08 4:00,-1.5,,6.7,320,68,1021.9,,,5.9,8,1.3
184,力林,2021-01-08 5:00,-1.1,,7.6,320,58,1021.7,,,5.6,9,1.3
184,力林,2021-01-08 6:00,-1.4,0,6.3,320,65,1022,,,5.2,9,1.3
184,力林,2021-01-08 7:00,-0.6,,7.5,290,62,1021.9,,,5.1,8,1.3
184,力林,2021-01-08 8:00,-0.3,,6.4,320,67,1022,0,0,4.8,8,1.2
184,力林,2021-01-08 9:00,-2,1,7,340,90,1022.2,0,0.07,5.5,9,1.2
184,力林,2021-01-08 10:00,-2.3,,6.9,360,92,1022.8,0,0.14,6.6,9,1.2
184,力林,2021-01-08 11:00,-2.2,,5,340,86,1022.4,0,0.33,7,9,1.1
184,力林,2021-01-08 12:00,-1.7,1.3,4.6,320,79,1021.4,0,0.56,7,9,1.1
184,力林,2021-01-08 13:00,-2,,5.9,320,89,1020.7,0,0.32,8,9,1.1
184,力林,2021-01-08 14:00,-1.3,,4,290,90,1019.6,0.1,0.85,8.5,9,1
184,力林,2021-01-08 15:00,-0.2,1.5,7.7,320,72,1019.2,0.1,0.58,8.8,9,1
184,力林,2021-01-08 16:00,0.8,,6.7,290,61,1019.2,0,0.38,8.8,9,1
184,力林,2021-01-08 17:00,0.7,,6.6,320,68,1019.4,0,0.16,8.5,9,1
184,力林,2021-01-08 18:00,0.5,0.1,7.5,320,67,1019.8,0,0.02,8.3,9,1
184,力林,2021-01-08 19:00,0.4,,9.1,320,63,1020.2,,,8,9,1.1
184,力林,2021-01-08 20:00,0.5,,7.6,290,53,1020.7,,,7.7,9,1.1
184,力林,2021-01-08 21:00,0.3,0.1,8.2,320,55,1020.8,,,7.7,8,1.1
184,力林,2021-01-08 22:00,-1.4,,7.9,320,87,1021.4,,,7.8,9,1.1
184,力林,2021-01-08 23:00,-1.1,,4.7,360,88,1021.4,,,8,9,1.2
184,力林,2021-01-09 0:00,-2.1,1.9,7,320,91,1021.6,,,9.2,9,1.2
184,力林,2021-01-09 1:00,-0.8,,6.3,360,77,1021.5,,,9.2,8,1.2
184,力林,2021-01-09 2:00,-0.6,,5.2,340,67,1021.7,,,8.8,7,1.2
184,力林,2021-01-09 3:00,-0.3,0,6.8,320,69,1021.8,,,8.8,8,1.2
184,力林,2021-01-09 4:00,0.7,,7.3,320,54,1021,,,8,9,1.2
184,力林,2021-01-09 5:00,0.1,,6,320,68,1020.5,,,7.7,9,1.2
184,力林,2021-01-09 6:00,-0.4,0,6.8,290,75,1020.8,,,7.7,8,1.3
184,力林,2021-01-09 7:00,0.8,,8.1,320,70,1020.5,,,7.7,8,1.3
184,力林,2021-01-09 8:00,-0.1,,6.7,290,79,1020.8,0,0.01,7.7,8,1.3
184,力林,2021-01-09 9:00,1.6,0.1,7.5,320,69,1021.3,0,0.1,7.2,9,1.3
184,力林,2021-01-09 10:00,1.8,,6.4,290,63,1021.7,0,0.25,7,9,1.2
184,力林,2021-01-09 11:00,2,,7.4,320,66,1021.6,0,0.35,6.7,9,1.2
184,力林,2021-01-09 12:00,1.8,0,5.8,320,67,1021,0,0.57,6.4,9,1.1
184,力林,2021-01-09 13:00,2.2,,9.2,320,67,1020.4,0,0.62,6,9,1.1
184,力林,2021-01-09 14:00,2,,6.2,340,77,1019.9,0,0.45,5.5,9,1
184,力林,2021-01-09 15:00,1.7,0.5,6.5,340,85,1020.6,0.3,0.81,5.5,7,1
184,力林,2021-01-09 16:00,2,,8.7,320,67,1020.7,0.1,0.4,5,8,0.9
184,力林,2021-01-09 17:00,1.6,,8.9,320,77,1020.8,0,0.16,5,8,0.9
184,力林,2021-01-09 18:00,2.2,0.1,5.7,340,74,1021.3,0,0.03,5,9,0.9
184,力林,2021-01-09 19:00,2.5,,6.3,320,66,1021.9,,,5,9,0.9
184,力林,2021-01-09 20:00,2.6,,7.8,320,57,1022.6,,,5,7,0.9
184,力林,2021-01-09 21:00,2.3,0.2,6.2,360,68,1023.2,,,4.8,8,0.9
184,力林,2021-01-09 22:00,1,,5.3,340,66,1024,,,4.8,7,1
184,力林,2021-01-09 23:00,0.6,,4.3,340,68,1024.3,,,4.8,6,1
184,力林,2021-01-10 0:00,1,,3.7,320,64,1024.7,,,4.6,8,1.1
184,力林,2021-01-10 1:00,0.9,,3.7,360,65,1024.7,,,4.6,7,1.1
